id,cd_setor,cod_ibge,cd_uf,total_population,avg_income,pct_u20,pct_o60,pct_wy,pct_bbi,pct_lit,pct_pip,pct_sew,pct_gar,pct_slight,pct_paved,pct_tree,pct_drain,pct_swalk,pct_whcair,pct_bus,igni,ehtd,eprd,edrm,city_type,CRI
700,110028805000082,110028.0,11.0,1101.0,1628.96,38.51044504995458,5.722070844686648,,,67.84741144414168,100.0,,100.0,100.0,100.0,99.72375690607734,99.72375690607734,100.0,85.91160220994475,0.0,0.1333333333333333,0.7333333333333333,3.866666666666666,0.1333333333333333,Centro Sub-Regional,0.2894978939559712
3413,110011405000060,110011.0,11.0,437.0,1472.25,46.910755148741416,3.8901601830663615,,77.34553775743707,58.58123569794051,99.30555555555556,0.0,100.0,98.61111111111111,99.30555555555556,0.6944444444444429,80.55555555555556,99.30555555555556,94.4055944055944,0.0,0.0,0.0,3.866666666666666,0.0,Centro Sub-Regional,0.2339108104579117
3414,110011405000061,110011.0,11.0,851.0,1404.69,41.95064629847239,4.81786133960047,25.381903642773207,74.61809635722679,,100.0,1.056338028169014,100.0,100.0,100.0,25.0,77.46478873239437,100.0,65.14084507042253,0.0,0.0,0.0666666666666666,3.866666666666666,0.0,Centro Sub-Regional,0.2534367667710763
14453,110020505000113,110020.0,11.0,697.0,1287.04,39.31133428981349,4.878048780487805,28.98134863701578,71.01865136298422,66.57101865136299,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.39837398373983,0.0,0.9333333333333332,0.2,3.733333333333333,0.0,Capital Regional,0.3043525893928962
14555,110020505080107,110020.0,11.0,372.0,1288.55,41.39784946236559,,,78.76344086021506,,100.0,78.94736842105263,100.0,100.0,100.0,49.12280701754386,92.10526315789474,100.0,100.0,7.894736842105263,0.1333333333333333,0.2,3.733333333333333,0.4666666666666667,Capital Regional,0.3086652460520337
14565,110020505000108,110020.0,11.0,932.0,1541.53,38.09012875536481,5.686695278969957,,,68.77682403433477,100.0,100.0,100.0,100.0,100.0,70.64846416382252,99.65870307167236,100.0,0.0,0.0,0.9333333333333332,0.3333333333333333,3.733333333333333,0.0,Capital Regional,0.2597157565565811
58184,110020505070065,110020.0,11.0,618.0,7629.91,24.433656957928804,14.239482200647249,,,81.71521035598705,34.645669291338585,9.448818897637794,99.60629921259844,96.45669291338582,85.43307086614173,73.22834645669292,35.03937007874016,85.43307086614173,48.8479262672811,38.58267716535433,0.3333333333333333,0.3333333333333333,3.733333333333333,0.1333333333333333,Capital Regional,0.3093269561000036
22,220700905000116,220700.0,22.0,900.0,1842.58,27.444444444444443,11.22222222222222,22.666666666666668,77.33333333333334,73.0,100.0,55.20504731861199,,99.36908517350156,93.69085173501576,77.28706624605678,0.0,98.73817034700316,24.92012779552716,0.0,0.8,11.4,3.6666666666666665,0.2,Centro Sub-Regional,0.2408092038031283
300,220700905000005,220700.0,22.0,901.0,1118.42,32.85238623751388,10.987791342952276,9.655937846836848,90.34406215316316,,98.07073954983925,71.06109324758843,,100.0,92.60450160771704,82.63665594855306,4.501607717041801,97.7491961414791,24.34210526315789,0.0,0.8,11.4,3.6666666666666665,0.2,Centro Sub-Regional,0.223194336985947
408,221100105100252,221100.0,22.0,347.0,1272.6,37.46397694524496,4.034582132564841,21.613832853025936,78.38616714697406,,100.0,85.03937007874016,100.0,100.0,100.0,88.18897637795276,0.0,100.0,36.22047244094488,0.0,2.933333333333333,7.0,3.6,0.0,Capital Regional,0.2286802579542208
409,221100105100255,221100.0,22.0,871.0,2596.22,32.60619977037887,7.807118254879449,23.765786452353616,76.23421354764639,73.24913892078071,100.0,17.153284671532848,,100.0,93.06569343065694,36.13138686131387,0.0,98.54014598540148,0.0,11.313868613138686,2.933333333333333,7.0,3.733333333333333,0.0,Capital Regional,0.1996073112110458
436,221100105100255,221100.0,22.0,871.0,2596.22,32.60619977037887,7.807118254879449,23.765786452353616,76.23421354764639,73.24913892078071,100.0,17.153284671532848,,100.0,93.06569343065694,36.13138686131387,0.0,98.54014598540148,0.0,11.313868613138686,2.933333333333333,7.0,3.733333333333333,0.0,Capital Regional,0.1996073112110458
410,221100105100177,221100.0,22.0,514.0,1545.15,33.463035019455255,7.976653696498055,22.373540856031127,,67.12062256809338,99.438202247191,2.247191011235955,100.0,100.0,100.0,68.53932584269663,0.0,100.0,5.056179775280899,43.82022471910113,2.933333333333333,8.4,3.6,0.0666666666666666,Capital Regional,0.213767990455384
411,221100105100372,221100.0,22.0,506.0,1454.8,39.723320158102766,2.766798418972332,15.810276679841897,84.1897233201581,,100.0,96.57142857142856,100.0,100.0,100.0,100.0,0.0,100.0,9.142857142857142,2.2857142857142856,2.933333333333333,7.0,3.733333333333333,0.0,Capital Regional,0.2143271957697319
412,221100105070249,221100.0,22.0,784.0,1725.52,35.714285714285715,3.826530612244898,22.321428571428573,77.67857142857143,70.53571428571429,100.0,63.38582677165354,99.60629921259844,100.0,100.0,49.21259842519685,44.881889763779526,99.60629921259844,2.3715415019762847,17.716535433070867,0.7333333333333333,8.066666666666666,3.866666666666666,0.0666666666666666,Capital Regional,0.2379363240193295
413,221100105100295,221100.0,22.0,506.0,1274.87,37.74703557312253,6.91699604743083,18.97233201581028,81.02766798418972,66.99604743083005,100.0,10.179640718562874,99.40119760479044,100.0,100.0,67.06586826347305,0.0,100.0,0.0,0.0,2.933333333333333,8.4,3.6,0.0666666666666666,Capital Regional,0.1794728655306459
418,221100105100295,221100.0,22.0,506.0,1274.87,37.74703557312253,6.91699604743083,18.97233201581028,81.02766798418972,66.99604743083005,100.0,10.179640718562874,99.40119760479044,100.0,100.0,67.06586826347305,0.0,100.0,0.0,0.0,2.933333333333333,8.4,3.6,0.0666666666666666,Capital Regional,0.1794728655306459
414,221100105080220,221100.0,22.0,777.0,1879.13,32.17503217503217,5.148005148005148,19.81981981981982,,,100.0,9.124087591240876,,100.0,100.0,71.8978102189781,15.328467153284672,100.0,0.0,0.0,0.7333333333333333,10.733333333333333,3.533333333333333,0.0666666666666666,Capital Regional,0.2147719798662092
