id,data_referencia,cod_ibge,txt_nome_municipio,txt_sigla_uf,txt_regiao,dt_assinatura,cod_operacao,txt_nome_empreendimento,txt_nome_agente_financeiro,txt_modalidade,txt_situacao_empreendimento,qtd_uh,qtd_uh_entregues,qtd_uh_vigentes,qtd_uh_distratadas,val_contratado_total,val_desembolsado,txt_cnpj_construtora_entidade,txt_nome_construtora_entidade,txt_endereco,txt_cep,year,addr2geocode,city_type,fmtd_addr,lat,lng
3596,30/09/2024,500270,Campo Grande ,MS,Centro-Oeste,2012-08-20,36432271,RESIDENCIAL CELINA JALAD 7E8,CAIXA,FAR,Concluído,394,394.0,0,0,23.641.084,"23.641.083,09",4123616000704.0,BROOKFIELD MB EMPREENDIMENTOS IMOBILIARIOS S.A.,RUA CACHOEIRA DO CAMPO E OUTROS,79096703.0,2012,"F8J5+Q9 - Portal Caioba, Campo Grande - MS, Brazil",Capital Regional,"F8J5+Q9 - Portal Caioba, Campo Grande - MS, Brazil",-20.5180625,-54.6915625
3597,30/09/2024,353760,Peruíbe ,SP,Sudeste,2010-04-09,29406685,CONDOMINIO DOS JACARANDAS (SERRA DO MAR),CAIXA,FAR,Concluído,88,88.0,0,0,5.112.094,"5.112.094,31",52429206000135.0,ENPLAN ENGENHARIA E CONSTRUTORA LTDA,RUA 8 ESQ RUA 36 - QD 14 - LOT STA IZABEL - PERUIBE/SP,,2010,"MXQH+RPR, Peruíbe - State of São Paulo, Brazil",Centro de Zona,"MXQH+RPR, Peruíbe - State of São Paulo, Brazil",-24.3103875,-47.02073439999999
3598,30/09/2024,412820,União da Vitória ,PR,Sul,2012-04-30,37695487,CONJUNTO RESIDENCIAL GUERINO MASSIGNAN,CAIXA,FAR,Concluído,210,210.0,0,0,10.500.000,10.500.000,76307024000150.0,CONSTRUTORA PIACENTINI LTDA.,"RUA EROCLITO TESSEROLI, S/N",,2012,"CONJUNTO RESIDENCIAL GUERINO MASSIGNAN, RUA EROCLITO TESSEROLI, S/N, União da Vitória , PR",Centro Sub-Regional,"Condomínio Residencial Guerino Massignan - R. Quintino Bocaiúva, 90 - Centro, União da Vitória - PR, 84600-000, Brazil",-26.2288125,-51.085032700000006
3599,30/09/2024,291080,Feira de Santana ,BA,Nordeste,2012-11-28,39707705,RESIDENCIAL ECOPARQUE 2,CAIXA,FAR,Concluído,224,224.0,0,0,14.336.000,14.336.000,73661472000169.0,CEPRENG ENGENHARIA E PREMOLDADOS LTDA,"ESTRADA PAU SECO-TERRA DURA, S_N",44090056.0,2012,"P337+3F - Aviário, Feira de Santana - BA, Brazil",Capital Regional,"P337+3F - Aviário, Feira de Santana - BA, Brazil",-12.2973125,-38.9363125
3600,30/09/2024,320490,São Mateus ,ES,Sudeste,2010-04-09,29880950,VILLAGE LITORANEO,CAIXA,FAR,Concluído,250,250.0,0,0,10.821.007,"10.821.007,36",541981000184.0,A B EMPREENDIMENTOS COMERCIAL LTDA,"RODOVIA BR 101, JAMBEIRO, SAO MATEUS",29932850.0,2010,"73PW+P29, São Mateus - State of Espírito Santo, Brazil",Centro Sub-Regional,"73PW+P29, São Mateus - State of Espírito Santo, Brazil",-18.7132125,-39.9048906
3601,30/09/2024,140010,Boa Vista ,RR,Norte,2013-01-04,39620197,RESIDENCIAL VILA JARDIM,CAIXA,FAR,Concluído,2992,2992.0,0,0,185.501.459,"185.501.459,3",17194077000142.0,CMT ENGENHARIA LTDA,QUADRA 728 - LOTE 0590 - BAIRRO CIDADE SATELITE,,2013,"RESIDENCIAL VILA JARDIM, QUADRA 728 - LOTE 0590 - BAIRRO CIDADE SATELITE, Boa Vista , RR",Capital Regional,"R. Izidio Lira, 198 - Cidade Satélite, Boa Vista - RR, 69317-534, Brazil",2.8439619,-60.7556927
3602,30/09/2024,510790,Sinop ,MT,Centro-Oeste,2012-01-11,32892513,RESIDENCIAL VILA SANTANA,CAIXA,FAR,Concluído,310,310.0,0,0,14.570.000,14.570.000,9001183000134.0,AVIDA CONSTRUTORA E INCORPORADORA S/A,GLEBA CELESTE MATR. 40.728 BAIRRO RES. VILA SANTANA,,2012,"3GF2+PVX, Sinop - State of Mato Grosso, Brazil",Capital Regional,"3GF2+PVX, Sinop - State of Mato Grosso, Brazil",-11.9256375,-55.4977656
3604,30/09/2024,230370,Caucaia ,CE,Nordeste,2010-12-28,30963271,RESIDENCIAL SAO PAULO,CAIXA,FAR,Concluído,240,240.0,0,0,10.757.299,"10.757.299,34",9426909000180.0,GUTTA EMPREENDIMENTOS IMOBILIARIOS GUTTENBERG LTDA,RUA NOSSA SRA DOS PRAZERES 320,61603025.0,2010,"R. Nossa Sra. dos Prazeres, 320 - Icaraí, Caucaia - CE, 61621-125, Brazil",Centro Local,"R. Nossa Sra. dos Prazeres, 320 - Icaraí, Caucaia - CE, 61621-125, Brazil",-3.6890005,-38.6608421
3605,30/09/2024,291080,Feira de Santana ,BA,Nordeste,2009-08-12,25907899,RESIDENCIAL SANTA BARBARA,CAIXA,FAR,Concluído,380,380.0,0,0,15.175.282,"15.175.281,72",40512931000193.0,FM CONSTRUTORA LTDA.,AVENIDA IGUATEMI S/N,,2009,"RESIDENCIAL SANTA BARBARA, AVENIDA IGUATEMI S/N, Feira de Santana , BA",Capital Regional,"Av. Iguatemi - Mangabeira, Feira de Santana - BA, 44066-280, Brazil",-12.2233959,-38.9243751
3606,30/09/2024,317020,Uberlândia ,MG,Sudeste,2010-04-30,29054267,RESIDENCIAL BALTIMORE,CAIXA,FAR,Concluído,64,64.0,0,0,2.713.804,"2.713.804,86",38531729000167.0,MARCA REGISTRADA ENG. CONS. LTDA,"RUA ANTONIO LOURENCO, GLEBA 173 E 174 LOTES 3 A 8",,2010,"RESIDENCIAL BALTIMORE, Uberlândia , MG",Capital Regional,"R. Antônio Lourenço Bastos, 185 - Chácaras Tubalina e Quartel, Uberlândia - MG, 38413-296, Brazil",-18.920195,-48.311351
